size,mflop
31,6163.64
32,5836.67
96,5468.88
97,5548.68
127,5377.87
128,2034.69
129,5294.78
191,4948.34
192,1988.09
229,4631.2
255,4541.24
256,1974.22
257,4667.28
319,4244.01
320,2003.08
321,4251.33
417,4038.39
479,4038.19
480,1956.59
511,3865.63
512,1326.76
639,3823.63
640,1798.24
767,3814.3
768,1819.12
769,3776.72
1023,3668.59
1024,553.813
1025,3752.11
1525,3636.69
1526,3650.5
1527,3666.43
