size,mflop
31,9928.22
32,7462.46
96,9821.21
97,8659.45
127,8700.42
128,10033.4
129,9225.22
191,8706.33
192,10086.8
229,8493.55
255,8999.84
256,9778.6
257,9128.5
319,8495.89
320,8770.67
321,8647.8
417,8955.09
479,8714.26
480,9348.68
511,8529.15
512,8947.49
639,7082.31
640,7968.79
767,7424.41
768,7746.11
769,7458.84
1023,7586.15
1024,7648
1025,7490.75
1525,7635.17
1526,7964.83
1527,7650.9
