size,mflop
31,4754.33
32,4821.57
96,4813.04
97,4991.12
127,4873.9
128,4887.82
129,4028.04
191,5104.26
192,4938.88
229,4898.67
255,4986.54
256,4872.23
257,4067.96
319,4984.11
320,4110.03
321,4699.24
417,4684.31
479,4965.13
480,4739.46
511,4750.65
512,4495.4
639,4818.47
640,4881.19
767,4825.29
768,4681.67
769,4809.23
1023,4748.27
1024,4652.28
1025,4742.96
1525,4819.46
1526,4790.97
1527,4857.9
