size,mflop
31,8430.19
32,14668.4
96,15648.5
97,15669.6
127,13270
128,11993.8
129,13399.6
191,16324.6
192,15530.2
229,15675.6
255,12700.9
256,11403.7
257,12590.7
319,16544.6
320,14816.5
321,16306.9
417,16720.3
479,16211.2
480,15610.9
511,12514.8
512,10925.5
639,14075.4
640,11872.9
767,12860.5
768,11972.6
769,13054.3
1023,12498.7
1024,10938.1
1025,12442.8
1525,15106.7
1526,16454.9
1527,15697.2
