size,mflop
31,5851.07
32,5685.22
96,5335.34
97,5349.31
127,5127.06
128,1993.59
129,5166.12
191,4979.42
192,1986.7
229,4684.53
255,4570.31
256,1933.28
257,4636.24
319,4269.2
320,1895.41
321,4336.78
417,4087.94
479,4046.4
480,1950.04
511,3855.3
512,1452.95
639,3687.39
640,1765.77
767,3586.89
768,1752.81
769,3655.53
1023,3594.45
1024,525.348
1025,3597.47
1525,3521.87
1526,3580.62
1527,3575.78
