size,mflop
31,5954.22
32,5272.1
96,9124.15
97,8739.18
127,8048.94
128,9901.58
129,8644.9
191,9011.82
192,9957.63
229,9441.49
255,8346.79
256,8203.86
257,7675.41
319,9206.82
320,9086.6
321,8445.48
417,9184.83
479,8662.24
480,9381.78
511,8737.31
512,8685.29
639,7635.27
640,7596.69
767,7516.12
768,7538.38
769,7466.64
1023,7577.71
1024,7655.48
1025,7619.39
1525,7593.63
1526,7614.88
1527,7625.25
