size,mflop
31,6205.94
32,5903.54
96,5473.41
97,5511.01
127,5269.78
128,2074.69
129,5252.89
191,5096.16
192,1965.48
229,4558.69
255,4563.58
256,2064.69
257,4433.34
319,4254.59
320,2020.36
321,4304.74
417,4033.13
479,3891.75
480,1921.24
511,3804.98
512,1193.2
639,3803.82
640,1833.89
767,3796.67
768,1804.95
769,3721.54
1023,3678.32
1024,580.71
1025,3746.61
1525,3689.18
1526,3605.67
1527,3755.09
