size,mflop
31,5401.76
32,5455.43
96,6199.07
97,6053.96
127,5889.19
128,6232.12
129,5944.76
191,5917.49
192,6052.66
229,6145.69
255,6245.06
256,6114.57
257,6256.25
319,6370.53
320,6207.3
321,6186.22
417,6208.53
479,6186.96
480,5989.06
511,5923.4
512,6097.85
639,6181.97
640,6313.26
767,5745.5
768,6145.96
769,5949.94
1023,5823.83
1024,6055.21
1025,6074.38
1525,6015.54
1526,6180.43
1527,6077.79
