size,mflop
31,4792.14
32,4661.42
96,3552.86
97,5012.39
127,5321.26
128,809.839
129,4234.54
191,2527.02
192,814.141
229,2520.66
255,2778.57
256,672.853
257,2771.84
319,3238.9
320,831.103
321,3301.98
417,3142.44
479,1771.81
480,1114.69
511,1625.44
512,549.533
639,1546.32
640,709.214
767,1566.32
768,633.229
769,1534.07
1023,1434.27
1024,315.102
1025,1352
1525,1556.11
1526,1548.38
1527,1551.86
